,feature_eng_method,regression_model,r2_score,rmse
0,edit_distance,linear,0.08516762738114791,0.25020389614417604
1,edit_distance,ridge,0.08516754020050432,0.2502039080659974
2,edit_distance,elastic_net,0.08516549533784412,0.25020418769771446
0,spacy_vec_mult,linear,0.17873028489372722,0.23706432867428073
1,spacy_vec_mult,ridge,0.17969048092485884,0.2369257050310805
2,spacy_vec_mult,elastic_net,0.17814783492728048,0.2371483775774246
0,spacy_vec_cos,linear,0.17947720638526643,0.23695650251394346
1,spacy_vec_cos,ridge,0.17946997904832396,0.23695754609294367
2,spacy_vec_cos,elastic_net,0.17919093717686485,0.23699783435470848
0,spacy_vec_euc,linear,0.22855675344585225,0.22976046248433038
1,spacy_vec_euc,ridge,0.22855474390505082,0.22976076173688414
2,spacy_vec_euc,elastic_net,0.228542314791795,0.22976261262066652
0,gensim_vec_mult,linear,-5.937896149623889,0.6890285279251878
1,gensim_vec_mult,ridge,0.00010629874644085824,0.2615774021776789
2,gensim_vec_mult,elastic_net,-0.00010636827169374641,0.26160521809873905
0,gensim_vec_cos,linear,0.16762045844444695,0.2386624006412774
1,gensim_vec_cos,ridge,0.16761736605283217,0.23866284397084295
2,gensim_vec_cos,elastic_net,0.1674912807371467,0.23868091903592736
0,gensim_vec_euc,linear,-0.0006387932239275695,0.2616748439992189
1,gensim_vec_euc,ridge,-0.0006327526640788061,0.26167405417128486
2,gensim_vec_euc,elastic_net,-0.0005360037614228208,0.2616614035312225
